Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount
4.0,8.0,3,Fashion,3,Married,2,1,6.0,198.52
27.0,8.0,4,Fashion,3,Married,7,0,0.0,206.86
1.0,9.0,5,Mobile,3,Single,8,1,1.0,145.9
11.0,7.0,5,Laptop & Accessory,3,Married,3,0,8.0,184.93
5.0,6.0,4,Mobile,3,Married,2,0,3.0,120.07
6.0,13.0,3,Fashion,3,Divorced,1,0,7.0,216.91000000000005
10.0,11.0,5,Laptop & Accessory,2,Single,3,0,9.0,183.1
8.0,7.0,4,Mobile,2,Divorced,3,0,9.0,151.91
5.0,8.0,2,Laptop & Accessory,2,Single,8,0,7.0,150.55
8.0,13.0,3,Laptop & Accessory,1,Married,2,1,9.0,152.04
3.0,12.0,4,Laptop & Accessory,1,Married,1,0,7.0,146.27
23.0,14.0,5,Fashion,3,Single,10,0,1.0,170.0
1.0,32.0,6,Mobile,3,Single,3,0,2.0,147.93
5.0,12.0,4,Mobile,2,Divorced,2,1,4.0,173.21
61.0,28.0,4,Grocery,1,Married,6,1,1.0,303.75
29.0,33.0,5,Others,1,Married,3,0,14.0,320.86
12.0,30.0,5,Fashion,3,Single,2,0,7.0,220.26
21.0,9.0,2,Grocery,4,Married,8,0,3.0,284.72
1.0,11.0,3,Mobile,5,Divorced,4,0,3.0,153.19
11.0,7.0,5,Mobile,5,Divorced,4,0,3.0,164.2
29.0,27.0,4,Laptop & Accessory,2,Divorced,5,1,9.0,179.15
1.0,31.0,6,Mobile,1,Single,3,1,1.0,148.4
4.0,32.0,5,Fashion,4,Single,4,1,7.0,215.94
1.0,9.0,2,Mobile,5,Single,9,0,2.0,159.24
27.0,9.0,5,Grocery,1,Married,4,0,8.0,279.27
1.0,9.0,4,Laptop & Accessory,3,Single,3,1,5.0,169.78
16.0,25.0,4,Laptop & Accessory,5,Married,8,1,3.0,179.1
4.0,23.0,4,Mobile,1,Married,3,0,9.0,153.62
5.0,27.0,3,Mobile,1,Married,8,0,2.0,122.58
18.0,16.0,4,Mobile,5,Divorced,3,1,2.0,150.59
13.0,18.0,4,Fashion,2,Divorced,3,0,8.0,201.54
1.0,29.0,4,Mobile,3,Single,3,1,1.0,141.75
5.0,23.0,3,Mobile,4,Divorced,2,0,0.0,122.1
1.0,28.0,2,Mobile,2,Single,3,0,3.0,151.78
27.0,25.0,3,Laptop & Accessory,5,Married,10,1,4.0,154.85
18.0,15.0,4,Laptop & Accessory,3,Divorced,2,0,12.0,155.93
0.0,7.0,4,Laptop & Accessory,3,Single,2,0,2.0,146.17
8.0,22.0,4,Grocery,5,Married,9,0,10.0,295.07
29.0,6.0,3,Laptop & Accessory,3,Married,2,0,9.0,163.06
1.0,6.0,4,Mobile,4,Single,2,1,2.0,120.7
16.0,19.0,4,Mobile,4,Married,10,0,5.0,152.66
1.0,31.0,5,Fashion,5,Single,3,0,7.0,212.22
8.0,13.0,4,Laptop & Accessory,3,Single,3,0,11.0,173.09
6.0,17.0,4,Laptop & Accessory,1,Single,3,0,9.0,178.96
14.0,7.0,3,Laptop & Accessory,5,Married,1,0,7.0,141.03
10.0,10.0,5,Fashion,2,Divorced,6,0,7.0,221.99
5.0,12.0,3,Mobile,5,Single,2,0,2.0,124.39
26.0,127.0,4,Mobile,1,Married,4,0,1.0,159.82
5.0,14.0,1,Laptop & Accessory,3,Divorced,6,0,3.0,151.75
8.0,24.0,3,Fashion,1,Single,3,0,2.0,193.62
19.0,21.0,3,Others,4,Divorced,6,0,3.0,290.81
3.0,8.0,4,Laptop & Accessory,2,Single,6,1,0.0,168.77
22.0,9.0,4,Laptop & Accessory,1,Married,4,0,8.0,165.51
26.0,8.0,3,Grocery,3,Married,7,0,2.0,248.52
12.0,14.0,3,Mobile,3,Married,2,0,7.0,137.55
9.0,7.0,5,Laptop & Accessory,2,Divorced,2,0,1.0,178.63
0.0,16.0,3,Laptop & Accessory,3,Married,2,1,3.0,142.6
1.0,33.0,5,Laptop & Accessory,5,Single,7,0,2.0,191.96
17.0,16.0,4,Laptop & Accessory,3,Married,5,1,8.0,181.79
0.0,11.0,4,Laptop & Accessory,3,Single,2,1,3.0,157.44
10.0,14.0,4,Mobile,1,Single,4,0,2.0,171.78
0.0,6.0,3,Mobile,1,Married,10,1,2.0,147.87
7.0,28.0,2,Mobile,4,Married,3,0,14.0,145.28
16.0,12.0,3,Mobile,3,Single,5,0,2.0,124.38
8.0,18.0,5,Laptop & Accessory,4,Divorced,6,0,9.0,169.9
5.0,10.0,4,Laptop & Accessory,3,Divorced,2,0,8.0,161.62
16.0,9.0,4,Grocery,3,Divorced,2,1,11.0,303.61
0.0,12.0,3,Mobile,2,Single,2,0,2.0,126.1
16.0,12.0,4,Grocery,2,Married,5,1,0.0,266.27
7.0,7.0,2,Laptop & Accessory,5,Married,4,0,4.0,178.76
9.0,30.0,3,Laptop & Accessory,4,Divorced,8,0,8.0,156.74
22.0,7.0,2,Grocery,1,Single,4,0,2.0,293.85
27.0,10.0,4,Grocery,3,Divorced,5,1,4.0,300.84
19.0,7.0,5,Fashion,3,Married,5,0,5.0,232.48
27.0,20.0,3,Laptop & Accessory,5,Married,3,0,4.0,169.5
11.0,28.0,3,Mobile,5,Divorced,3,1,8.0,160.64
1.0,14.0,4,Laptop & Accessory,3,Married,3,0,2.0,173.83
18.0,8.0,3,Laptop & Accessory,3,Married,5,0,7.0,151.54
22.0,14.0,4,Laptop & Accessory,5,Married,6,0,3.0,179.86
26.0,15.0,4,Mobile,5,Divorced,11,0,5.0,154.5
7.0,32.0,4,Laptop & Accessory,3,Married,3,0,2.0,170.39
22.0,9.0,3,Laptop & Accessory,4,Divorced,5,0,3.0,206.2
12.0,27.0,5,Laptop & Accessory,3,Married,7,0,2.0,157.36
0.0,28.0,3,Laptop & Accessory,3,Married,2,1,7.0,161.79
26.0,30.0,1,Fashion,1,Married,4,0,2.0,170.05
8.0,15.0,2,Laptop & Accessory,3,Married,3,0,9.0,192.99
0.0,8.0,5,Laptop & Accessory,1,Single,4,0,0.0,150.71
12.0,15.0,3,Others,1,Single,3,0,3.0,294.31
9.0,16.0,3,Fashion,5,Married,8,1,7.0,183.21
1.0,28.0,2,Mobile,1,Single,3,0,3.0,151.78
5.0,8.0,1,Mobile,2,Divorced,2,0,7.0,120.11
30.0,30.0,1,Fashion,1,Married,4,1,4.0,194.39
1.0,22.0,6,Laptop & Accessory,1,Married,8,1,3.0,179.4
6.0,19.0,3,Mobile,1,Single,4,0,2.0,134.52
29.0,33.0,2,Others,4,Married,6,1,5.0,321.36
1.0,15.0,2,Mobile,3,Married,9,0,3.0,160.17
5.0,28.0,3,Mobile,3,Divorced,5,1,1.0,121.32
5.0,21.0,5,Mobile,2,Divorced,1,1,3.0,121.68
8.0,26.0,5,Mobile,1,Married,3,0,8.0,154.29
10.0,7.0,5,Laptop & Accessory,1,Married,2,0,3.0,195.25
18.0,7.0,2,Laptop & Accessory,5,Married,4,0,3.0,175.33
13.0,30.0,3,Laptop & Accessory,1,Married,2,0,7.0,133.19
0.0,29.0,4,Laptop & Accessory,3,Divorced,4,1,1.0,159.16
1.0,16.0,4,Mobile,5,Single,9,0,5.0,167.0
1.0,32.0,4,Laptop & Accessory,5,Married,2,0,4.0,147.24
8.0,13.0,3,Mobile,3,Married,2,0,0.0,124.04
0.0,13.0,4,Mobile,4,Married,2,1,0.0,124.13
4.0,6.0,3,Laptop & Accessory,1,Single,9,1,5.0,159.93
1.0,23.0,4,Mobile,4,Married,11,0,3.0,153.11
5.0,28.0,5,Mobile,3,Married,2,0,0.0,115.55
3.0,10.0,5,Fashion,3,Divorced,3,0,8.0,244.35
5.0,31.0,4,Laptop & Accessory,1,Single,4,0,5.0,177.38
0.0,24.0,3,Mobile,1,Single,2,0,0.0,126.93
1.0,19.0,3,Mobile,4,Single,3,0,1.0,152.16
1.0,10.0,5,Mobile,3,Single,3,0,1.0,157.3
30.0,16.0,3,Grocery,3,Single,1,0,8.0,238.72000000000003
1.0,12.0,4,Mobile,1,Single,2,1,3.0,148.79
4.0,16.0,4,Laptop & Accessory,5,Married,3,0,11.0,155.72
10.0,21.0,4,Laptop & Accessory,2,Divorced,2,1,12.0,190.86
12.0,15.0,3,Laptop & Accessory,4,Single,21,0,3.0,167.82
1.0,15.0,4,Mobile,1,Single,3,0,5.0,159.45
0.0,6.0,4,Laptop & Accessory,2,Divorced,7,0,2.0,147.75
6.0,11.0,5,Laptop & Accessory,3,Married,3,0,9.0,186.62
24.0,17.0,4,Grocery,4,Single,4,0,3.0,231.42
28.0,18.0,4,Grocery,1,Married,5,0,13.0,285.32
22.0,13.0,4,Fashion,3,Single,9,0,7.0,209.65
5.0,9.0,4,Mobile,3,Divorced,2,0,0.0,112.81
18.0,8.0,3,Laptop & Accessory,4,Married,1,0,7.0,148.05
10.0,10.0,2,Laptop & Accessory,5,Married,8,0,5.0,193.42
1.0,10.0,5,Fashion,2,Divorced,3,1,7.0,228.25
1.0,9.0,4,Mobile,5,Married,8,1,3.0,145.42
2.0,28.0,2,Fashion,4,Married,8,0,7.0,219.96
8.0,17.0,3,Mobile,3,Married,8,1,2.0,126.6
16.0,17.0,4,Mobile,3,Married,5,0,4.0,154.36
6.0,8.0,3,Laptop & Accessory,1,Married,2,0,4.0,155.05
10.0,13.0,2,Mobile,1,Married,5,0,1.0,155.38
7.0,11.0,4,Laptop & Accessory,4,Married,7,0,8.0,155.55
18.0,10.0,3,Laptop & Accessory,4,Divorced,2,0,8.0,144.47
1.0,15.0,6,Mobile,3,Divorced,3,0,3.0,171.21
7.0,24.0,4,Grocery,3,Single,3,0,1.0,299.44
29.0,9.0,4,Fashion,4,Married,5,0,3.0,234.76
10.0,7.0,4,Laptop & Accessory,1,Single,6,0,1.0,191.53
1.0,9.0,4,Mobile,5,Divorced,8,1,3.0,145.42
19.0,11.0,3,Laptop & Accessory,4,Married,2,1,2.0,150.21
13.0,8.0,1,Laptop & Accessory,4,Divorced,2,0,7.0,142.44
19.0,9.0,4,Laptop & Accessory,1,Single,6,0,4.0,176.6
5.0,12.0,1,Mobile,5,Married,2,1,0.0,116.01
20.0,10.0,3,Laptop & Accessory,2,Single,2,1,7.0,141.63
2.0,35.0,5,Laptop & Accessory,3,Married,9,0,6.0,163.84
5.0,6.0,3,Fashion,1,Married,2,0,7.0,204.22
27.0,9.0,3,Laptop & Accessory,5,Divorced,3,0,5.0,159.4
14.0,7.0,4,Laptop & Accessory,3,Married,9,0,2.0,192.28
50.0,6.0,1,Laptop & Accessory,3,Divorced,1,0,8.0,149.0
23.0,29.0,4,Grocery,4,Married,5,0,3.0,289.13
29.0,8.0,2,Grocery,1,Married,4,0,1.0,272.32
0.0,30.0,4,Laptop & Accessory,4,Single,1,1,10.0,145.99
19.0,15.0,4,Laptop & Accessory,1,Married,11,0,9.0,161.97
15.0,16.0,3,Mobile,3,Married,4,0,3.0,129.36
24.0,27.0,4,Grocery,3,Married,4,1,14.0,237.45
30.0,24.0,3,Fashion,1,Single,7,0,4.0,205.12
3.0,13.0,5,Mobile,4,Married,3,0,1.0,153.04
11.0,16.0,3,Laptop & Accessory,3,Married,4,0,2.0,160.77
7.0,14.0,4,Laptop & Accessory,4,Married,2,0,3.0,168.02
16.0,9.0,5,Laptop & Accessory,1,Single,5,0,1.0,192.81
19.0,8.0,3,Fashion,1,Married,5,1,3.0,203.68
9.0,10.0,4,Laptop & Accessory,1,Single,2,0,8.0,158.1
5.0,8.0,3,Mobile,3,Married,3,0,2.0,120.01
12.0,16.0,5,Mobile,4,Divorced,2,0,3.0,153.99
8.0,16.0,5,Fashion,4,Single,3,0,7.0,211.21
16.0,12.0,3,Mobile,2,Single,1,0,7.0,124.55
5.0,11.0,4,Laptop & Accessory,4,Single,3,0,4.0,218.55
27.0,13.0,3,Laptop & Accessory,1,Married,5,0,7.0,168.54
17.0,17.0,4,Mobile,2,Single,2,0,8.0,149.55
1.0,31.0,6,Mobile,2,Single,3,1,1.0,136.18
27.0,30.0,4,Grocery,2,Single,8,0,9.0,267.75
10.0,35.0,3,Fashion,4,Married,2,1,7.0,218.49
17.0,11.0,5,Fashion,2,Single,5,0,7.0,227.31
0.0,7.0,4,Laptop & Accessory,5,Married,2,0,7.0,197.14
0.0,6.0,3,Laptop & Accessory,4,Married,2,0,4.0,163.97
25.0,21.0,4,Laptop & Accessory,2,Divorced,6,0,8.0,174.36
12.0,30.0,4,Laptop & Accessory,2,Married,11,0,3.0,182.45
2.0,24.0,4,Laptop & Accessory,5,Married,3,0,9.0,170.58
4.0,10.0,4,Mobile,2,Divorced,6,0,5.0,145.97
15.0,16.0,3,Grocery,5,Divorced,1,0,9.0,267.99
14.0,17.0,5,Laptop & Accessory,4,Married,9,0,4.0,193.52
28.0,16.0,4,Laptop & Accessory,3,Married,5,0,4.0,153.97
24.0,7.0,4,Others,4,Married,5,1,8.0,306.72
28.0,8.0,4,Others,5,Married,9,0,0.0,290.38
1.0,20.0,4,Mobile,4,Divorced,3,0,1.0,145.33
23.0,13.5,3,Mobile,2,Divorced,5,0,0.0,123.8
18.0,8.0,3,Others,5,Married,6,1,4.0,298.59
1.0,8.0,4,Mobile,1,Married,2,1,2.0,138.67
11.0,8.0,4,Fashion,3,Married,4,1,2.0,177.56
3.0,7.0,5,Grocery,2,Married,5,0,8.0,286.24
14.0,13.0,3,Laptop & Accessory,3,Single,7,0,1.0,150.03
14.0,27.0,4,Fashion,1,Married,6,0,7.0,228.22
14.0,18.0,3,Mobile,2,Divorced,4,1,0.0,147.66
9.0,9.0,3,Laptop & Accessory,4,Single,5,0,7.0,144.85
20.0,7.0,3,Mobile,1,Married,8,0,2.0,134.2
22.0,7.0,2,Grocery,2,Single,4,0,2.0,293.85
28.0,32.0,4,Others,1,Married,2,0,13.0,295.86
25.0,14.0,3,Mobile,5,Married,10,0,4.0,129.5
6.0,10.0,4,Fashion,1,Single,5,0,8.0,236.59
24.0,12.0,3,Others,3,Single,8,0,15.0,295.37
7.0,22.0,4,Laptop & Accessory,1,Married,2,1,2.0,37.0
0.0,12.0,3,Mobile,1,Married,2,1,2.0,56.0
7.0,7.0,5,Mobile,3,Married,3,0,1.0,145.08
15.0,35.0,5,Grocery,4,Married,2,0,11.0,260.7
6.0,10.0,4,Mobile,4,Married,9,0,2.0,138.38
5.0,7.0,5,Mobile,5,Married,3,0,3.0,147.18
5.0,25.0,1,Mobile,3,Married,7,1,2.0,127.59
27.0,9.0,2,Grocery,4,Single,6,0,9.0,290.98
15.0,8.0,3,Mobile,3,Married,1,1,0.0,126.96
8.0,9.0,2,Mobile,1,Married,2,1,3.0,154.32
13.0,10.0,3,Others,3,Divorced,2,0,9.0,290.33
1.0,9.0,4,Mobile,1,Married,2,0,2.0,150.23
0.0,31.0,3,Mobile,3,Married,2,0,7.0,129.42
20.0,15.0,5,Laptop & Accessory,5,Married,10,1,8.0,171.15
25.0,16.0,4,Mobile,1,Married,5,0,4.0,145.75
3.0,35.0,5,Mobile,5,Single,3,0,5.0,162.85
2.0,34.0,6,Laptop & Accessory,5,Married,2,0,1.0,173.77
12.0,17.0,4,Laptop & Accessory,2,Single,3,1,4.0,181.66
9.0,25.0,4,Laptop & Accessory,3,Divorced,3,0,1.0,171.01
3.0,11.0,5,Mobile,5,Married,3,0,1.0,146.09
5.0,30.0,3,Laptop & Accessory,1,Married,2,0,7.0,153.09
14.0,8.0,4,Mobile,4,Married,5,0,4.0,148.87
1.0,7.0,4,Mobile,1,Single,3,1,9.0,151.86
5.0,16.0,3,Mobile,3,Divorced,2,1,0.0,122.2
10.0,25.0,4,Laptop & Accessory,2,Single,4,0,10.0,202.79
5.0,10.0,4,Laptop & Accessory,3,Married,2,0,8.0,161.62
2.0,15.0,5,Mobile,2,Married,3,0,5.0,174.36
4.0,11.0,5,Laptop & Accessory,4,Married,3,1,8.0,177.09
3.0,15.0,3,Laptop & Accessory,5,Married,2,0,10.0,130.72
1.0,7.0,5,Laptop & Accessory,5,Single,3,0,8.0,167.94
6.0,7.0,4,Fashion,1,Married,3,0,7.0,229.22
5.0,15.0,4,Grocery,4,Single,5,0,1.0,289.22
14.0,21.0,5,Others,3,Single,3,0,10.0,321.26
14.0,35.0,6,Fashion,5,Married,5,0,2.0,234.32
0.0,8.0,4,Mobile,2,Single,8,0,0.0,127.85
24.0,9.0,4,Grocery,5,Divorced,4,0,3.0,303.56
18.0,7.0,4,Laptop & Accessory,1,Married,6,1,3.0,182.43
20.0,6.0,3,Fashion,4,Married,1,0,7.0,219.57
16.0,12.0,4,Others,3,Married,8,0,14.0,293.92
14.0,9.0,4,Laptop & Accessory,4,Married,5,0,11.0,181.77
9.0,11.0,4,Laptop & Accessory,3,Single,3,1,2.0,167.49
0.0,9.0,3,Mobile,3,Single,2,0,7.0,140.84
10.0,17.0,4,Fashion,3,Divorced,5,0,8.0,195.94
6.0,15.0,2,Laptop & Accessory,2,Divorced,3,0,9.0,187.09
29.0,15.0,3,Mobile,3,Divorced,3,0,3.0,129.42
25.0,34.0,1,Grocery,3,Divorced,3,1,2.0,232.47000000000003
20.0,8.0,2,Grocery,5,Single,3,0,13.0,300.67
14.0,6.0,4,Others,3,Divorced,2,0,10.0,291.89
15.0,23.0,1,Laptop & Accessory,5,Single,4,1,2.0,165.45
16.0,11.0,4,Others,2,Divorced,3,0,16.0,317.32
16.0,12.0,4,Grocery,1,Married,5,1,0.0,266.27
1.0,31.0,5,Laptop & Accessory,4,Single,2,1,11.0,170.99
9.0,18.0,3,Laptop & Accessory,3,Married,10,1,1.0,146.63
1.0,8.0,4,Mobile,1,Married,11,1,3.0,172.87
3.0,30.0,4,Mobile,5,Single,2,0,4.0,164.04
4.0,35.0,4,Laptop & Accessory,2,Divorced,3,0,10.0,182.75
0.0,12.0,4,Mobile,1,Single,2,1,1.0,123.89
17.0,32.0,5,Fashion,1,Married,7,0,1.0,232.98
4.0,29.0,4,Laptop & Accessory,1,Married,1,0,8.0,155.82
16.0,22.0,3,Grocery,2,Divorced,6,1,9.0,260.64
1.0,26.0,4,Mobile,1,Married,3,0,3.0,148.23
1.0,7.0,4,Mobile,3,Single,2,0,6.0,145.58
30.0,9.0,4,Laptop & Accessory,2,Single,6,0,5.0,151.71
3.0,11.0,3,Mobile,5,Married,6,0,30.0,132.04
17.0,15.0,4,Laptop & Accessory,3,Married,6,1,3.0,170.22
5.0,9.0,4,Laptop & Accessory,5,Single,9,0,4.0,178.32
9.0,12.0,4,Fashion,4,Single,2,0,14.0,205.95
0.0,8.0,3,Mobile,5,Married,1,0,2.0,130.41
5.0,21.0,3,Mobile,3,Married,2,0,2.0,122.07
3.0,13.0,3,Laptop & Accessory,3,Married,2,0,9.0,134.91
20.0,29.0,3,Fashion,2,Divorced,2,0,6.0,203.12
17.0,9.0,3,Others,2,Divorced,5,1,1.0,295.13
1.0,22.0,4,Mobile,3,Married,3,0,3.0,151.1
5.0,9.0,4,Mobile,1,Married,4,0,0.0,121.77
29.0,27.0,4,Laptop & Accessory,1,Married,5,1,9.0,179.15
8.0,31.0,3,Fashion,3,Married,2,1,1.0,203.88
0.0,24.0,3,Laptop & Accessory,3,Married,1,1,2.0,146.14
7.0,10.0,3,Laptop & Accessory,3,Divorced,10,0,2.0,165.38
5.0,14.0,5,Mobile,3,Married,5,0,3.0,148.29
5.0,7.0,4,Mobile,3,Married,2,0,0.0,115.63
12.0,5.0,4,Others,2,Divorced,2,0,3.0,292.72
11.0,16.0,5,Laptop & Accessory,4,Married,3,0,4.0,166.89
6.0,14.0,4,Laptop & Accessory,2,Divorced,6,0,4.0,217.04
24.0,7.0,5,Mobile,3,Married,4,0,3.0,161.9
9.0,7.0,4,Laptop & Accessory,3,Divorced,11,0,10.0,172.17
2.0,25.0,3,Laptop & Accessory,2,Married,5,0,2.0,142.62
1.0,24.0,4,Mobile,4,Divorced,2,1,2.0,155.58
0.0,6.0,4,Mobile,4,Single,2,0,0.0,128.36
22.0,9.0,2,Mobile,4,Single,7,0,1.0,150.59
11.0,22.0,3,Laptop & Accessory,4,Single,3,0,2.0,141.98
0.0,13.0,3,Mobile,3,Married,4,1,7.0,133.39
15.0,9.0,4,Grocery,5,Divorced,9,0,9.0,290.95
2.0,26.0,3,Laptop & Accessory,2,Married,3,0,2.0,169.31
5.0,21.0,3,Laptop & Accessory,1,Married,6,0,2.0,166.67
10.0,25.0,4,Mobile,2,Single,3,0,8.0,146.53
4.0,12.0,3,Mobile,4,Single,2,0,0.0,125.01
8.0,11.0,4,Laptop & Accessory,3,Married,11,0,3.0,190.38
4.0,24.0,4,Fashion,5,Divorced,3,1,9.0,244.16000000000005
9.0,15.0,4,Laptop & Accessory,3,Married,3,0,10.0,166.48
1.0,15.0,6,Mobile,3,Married,3,0,3.0,171.21
8.0,15.0,4,Laptop & Accessory,5,Divorced,7,0,3.0,190.0
30.0,13.0,3,Grocery,5,Divorced,11,0,8.0,257.12
8.0,28.0,2,Laptop & Accessory,1,Single,3,0,8.0,178.37
18.0,7.0,4,Fashion,3,Married,4,0,4.0,207.48
24.0,7.0,4,Grocery,2,Married,11,0,4.0,298.99
8.0,7.0,4,Mobile,4,Married,3,1,4.0,148.42
14.0,31.0,4,Laptop & Accessory,1,Married,3,0,8.0,158.19
1.0,6.0,3,Mobile,1,Single,2,0,7.0,121.15
3.0,30.0,2,Mobile,3,Married,3,0,8.0,152.0
0.0,16.0,1,Mobile,3,Single,2,0,2.0,135.05
9.0,34.0,5,Mobile,5,Single,3,0,2.0,150.59
3.0,12.0,4,Laptop & Accessory,2,Divorced,5,0,1.0,145.86
21.0,35.0,3,Fashion,3,Married,4,0,7.0,225.04
4.0,8.0,3,Mobile,3,Married,1,0,2.0,130.67
1.0,16.0,4,Mobile,5,Married,3,0,1.0,142.9
2.0,12.0,3,Mobile,1,Married,2,0,8.0,131.31
5.0,23.0,5,Mobile,3,Married,2,0,2.0,123.05
16.0,15.0,4,Mobile,3,Single,6,0,1.0,164.68
26.0,19.0,2,Laptop & Accessory,5,Married,2,0,3.0,144.5
10.0,21.0,4,Laptop & Accessory,1,Married,2,1,12.0,190.86
2.0,21.0,4,Laptop & Accessory,3,Single,1,1,8.0,141.93
1.0,10.0,4,Mobile,5,Married,7,0,3.0,165.31
1.0,7.0,4,Mobile,4,Single,3,0,2.0,145.96
12.0,19.0,4,Grocery,4,Married,7,1,2.0,271.23
8.0,9.0,4,Laptop & Accessory,3,Single,4,0,3.0,165.33
0.0,8.0,4,Mobile,2,Single,2,0,0.0,111.02
7.0,30.0,3,Mobile,3,Married,4,1,0.0,131.61
5.0,14.0,4,Laptop & Accessory,5,Divorced,3,0,13.0,168.06
11.0,29.0,4,Fashion,3,Single,1,0,8.0,195.26
23.0,8.0,3,Grocery,5,Divorced,3,0,2.0,278.56
19.0,13.0,5,Fashion,2,Single,8,0,7.0,213.65
4.0,9.0,5,Mobile,1,Single,2,0,3.0,152.2
0.0,11.0,1,Laptop & Accessory,5,Married,2,0,5.0,140.0
5.0,14.0,4,Fashion,5,Married,4,0,7.0,221.37
9.0,18.0,4,Fashion,2,Single,1,0,8.0,188.58
0.0,13.0,3,Laptop & Accessory,3,Divorced,2,0,1.0,148.83
10.0,17.0,4,Fashion,5,Married,9,1,8.0,208.21
16.0,36.0,4,Laptop & Accessory,4,Married,3,0,9.0,169.34
13.0,8.0,4,Mobile,3,Single,3,0,2.0,128.09
13.0,22.0,3,Fashion,1,Single,7,1,3.0,179.45
28.0,14.0,4,Grocery,4,Married,2,1,0.0,235.77
0.0,23.0,3,Mobile,3,Married,1,1,0.0,127.41
0.0,8.0,3,Mobile,3,Single,7,0,1.0,143.82
27.0,11.0,3,Others,5,Married,5,0,2.0,294.06
16.0,9.0,5,Mobile,4,Married,6,0,1.0,173.41
15.0,21.0,4,Mobile,3,Married,6,0,9.0,149.51
25.0,7.0,5,Fashion,5,Single,5,0,9.0,199.84
1.0,14.0,4,Mobile,1,Single,3,0,8.0,150.7
4.0,8.0,4,Laptop & Accessory,5,Married,4,0,0.0,164.1
11.0,9.0,4,Laptop & Accessory,3,Married,6,1,4.0,221.02
8.0,17.0,4,Laptop & Accessory,3,Married,3,1,8.0,165.01
10.0,16.0,4,Laptop & Accessory,2,Married,3,1,0.0,166.94
2.0,7.0,3,Mobile,1,Married,2,0,2.0,137.6
9.0,8.0,4,Laptop & Accessory,1,Single,2,0,8.0,138.86
21.0,9.0,4,Laptop & Accessory,4,Married,9,0,1.0,174.78
6.0,9.0,4,Mobile,4,Divorced,3,0,8.0,148.7
1.0,7.0,4,Mobile,2,Single,3,1,9.0,151.86
9.0,33.0,3,Laptop & Accessory,3,Married,7,0,7.0,152.37
12.0,8.0,4,Laptop & Accessory,3,Single,2,0,10.0,145.53
31.0,10.0,2,Mobile,5,Married,6,1,1.0,151.7
12.0,9.0,4,Mobile,1,Single,7,1,3.0,164.44
19.0,24.0,3,Laptop & Accessory,3,Married,3,0,8.0,148.1
15.0,14.0,2,Mobile,3,Divorced,3,0,9.0,158.76
6.0,7.0,4,Mobile,1,Married,2,0,3.0,148.14
18.0,11.0,4,Laptop & Accessory,4,Single,11,0,4.0,184.33
7.0,21.0,3,Laptop & Accessory,5,Single,2,0,6.0,161.25
1.0,6.0,3,Mobile,4,Single,2,0,1.0,120.96
9.0,18.0,4,Mobile,3,Married,9,1,3.0,151.6
1.0,7.0,5,Laptop & Accessory,3,Single,3,0,3.0,171.17
15.0,11.0,3,Fashion,4,Single,10,1,7.0,184.46
18.0,13.0,3,Mobile,3,Married,5,1,2.0,144.77
30.0,6.0,3,Fashion,2,Divorced,4,1,7.0,219.04
14.0,9.0,4,Mobile,5,Married,6,0,3.0,158.77
11.0,20.0,4,Laptop & Accessory,1,Married,3,0,8.0,167.85
14.0,21.0,4,Laptop & Accessory,5,Married,3,0,3.0,171.39
4.0,8.0,4,Mobile,4,Married,2,1,8.0,160.79
30.0,16.0,4,Mobile,3,Married,4,0,4.0,154.42
10.0,6.0,3,Fashion,2,Single,5,0,2.0,174.91
16.0,15.0,4,Others,2,Married,3,0,10.0,309.3
7.0,19.0,3,Fashion,3,Married,2,0,1.0,186.28
1.0,25.0,4,Mobile,5,Divorced,2,0,3.0,131.96
25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34
1.0,7.0,5,Mobile,4,Single,3,1,3.0,145.7
9.0,16.0,4,Laptop & Accessory,3,Married,2,1,7.0,156.73
1.0,8.0,4,Mobile,4,Divorced,1,0,4.0,132.01
4.0,9.0,5,Laptop & Accessory,2,Single,7,1,1.0,193.77
6.0,6.0,4,Laptop & Accessory,1,Single,1,0,4.0,169.49
24.0,14.0,4,Fashion,4,Divorced,6,0,7.0,224.9
3.0,7.0,4,Fashion,1,Married,3,0,2.0,204.18
3.0,12.0,5,Laptop & Accessory,4,Married,3,1,10.0,166.87
4.0,11.0,3,Mobile,2,Divorced,1,1,3.0,148.21
2.0,14.0,4,Laptop & Accessory,5,Single,2,0,4.0,173.98
16.0,30.0,4,Grocery,2,Single,4,0,1.0,284.92
0.0,6.0,3,Mobile,4,Single,2,1,4.0,132.02
16.0,9.0,4,Others,3,Married,7,0,15.0,313.8
7.0,15.0,5,Mobile,2,Single,2,0,3.0,148.42
7.0,16.0,4,Laptop & Accessory,3,Married,2,0,7.0,150.63
22.0,13.0,4,Fashion,3,Single,9,0,0.0,145.0
16.0,33.0,1,Mobile,4,Married,6,0,2.0,148.76
0.0,11.0,4,Fashion,1,Married,2,1,7.0,228.08
13.0,14.0,4,Fashion,4,Married,3,0,8.0,237.57
4.0,13.0,3,Laptop & Accessory,1,Married,4,0,7.0,159.15
0.0,6.0,3,Mobile,2,Single,2,1,8.0,126.86
